timestamp,open,high,low,close,volume
1786784400,62935.72,63045.83,62920.0,63030.38,183.99371
1786788000,63030.39,63051.74,63002.12,63046.1,79.58111
1786791600,63046.1,63054.69,62996.85,63022.01,175.71191
1786795200,63022.01,63055.36,62946.58,63050.13,109.73402
1786798800,63050.12,63080.88,63028.11,63060.35,132.2968
1786802400,63060.34,63060.35,62996.77,63040.0,244.03751
1786806000,63040.01,63120.09,63032.0,63100.55,214.37562
1786809600,63100.55,63124.99,63066.73,63096.63,202.83972
1786813200,63096.62,63100.69,63066.21,63070.5,96.56413
1786816800,63070.49,63115.58,63044.37,63057.58,294.79086
1786820400,63057.58,63127.4,63057.57,63126.08,516.06271
1786824000,63126.07,63126.08,63076.96,63103.29,55.31906
1786827600,63103.29,63168.95,63103.29,63159.04,170.99952
1786831200,63159.04,63175.0,63135.52,63135.52,95.56932
1786834800,63135.52,63139.96,63086.0,63086.01,85.33037
1786838400,63086.01,63086.01,63061.47,63085.82,94.57372
1786842000,63085.81,63085.82,63012.0,63084.78,180.55557
1786845600,63084.78,63151.59,63024.22,63121.91,245.34897
1786849200,63121.92,63130.01,63115.61,63130.0,105.94774
1786852800,63130.01,63158.8,63090.0,63090.01,130.32114
1786856400,63090.0,63094.0,63040.0,63069.43,235.12057
1786860000,63069.43,63083.79,63043.21,63069.31,280.31849
1786863600,63069.32,63069.32,63054.34,63061.02,146.93998
1786867200,63061.03,63079.76,63061.02,63072.42,108.9221
1786870800,63072.43,63072.43,62968.45,62992.69,290.93169
1786874400,62992.68,63013.62,62968.45,63008.57,133.29459
1786878000,63008.56,63013.66,62981.93,63013.66,213.61707
1786881600,63013.66,63025.42,62997.77,63021.98,78.74312
1786885200,63021.99,63070.05,63021.98,63060.01,146.76198
1786888800,63060.01,63102.86,63060.0,63102.85,159.23473
1786892400,63102.86,63146.4,63102.86,63146.39,173.3934
1786896000,63146.39,63390.0,63137.35,63260.01,394.04188
1786899600,63260.0,63276.61,63120.22,63159.3,190.81967
1786903200,63159.31,63173.71,63120.0,63140.06,89.92171
1786906800,63140.05,63230.0,63100.89,63108.81,186.2917
1786910400,63108.8,63140.0,63027.6,63067.79,122.98382
1786914000,63067.79,63085.15,62754.0,62929.61,328.59983
1786917600,62929.61,62954.0,62716.0,62913.7,453.8874
1786921200,62913.7,62993.77,62830.0,62900.0,246.66048
1786924800,62900.0,62956.0,62751.1,62917.54,577.24276
1786928400,62917.54,63246.91,62896.0,63116.12,495.52019
1786932000,63116.12,63500.0,63037.09,63403.34,459.80516
1786935600,63403.33,63520.0,63339.78,63429.21,637.65934
1786939200,63429.21,63580.0,63429.21,63532.44,714.19197
1786942800,63532.43,63594.76,63446.59,63520.18,770.70619
1786946400,63520.18,63717.17,63477.95,63667.99,312.69187
1786950000,63668.0,63668.0,63500.0,63514.45,696.41924
1786953600,63514.45,63545.08,63350.0,63380.84,520.36494
1786957200,63380.83,63428.0,63295.0,63323.96,311.26926
1786960800,63323.97,63694.26,63300.25,63692.21,683.00101
1786964400,63692.2,63781.69,63587.05,63631.1,428.28018
1786968000,63631.11,63680.0,63533.06,63554.69,405.66003
1786971600,63554.7,63799.64,63444.17,63672.36,585.29579
1786975200,63672.37,63904.76,63588.0,63902.63,583.47166
1786978800,63902.63,64227.27,63812.35,64200.0,1356.1435
1786982400,64200.0,64216.42,64058.0,64115.76,671.84426
1786986000,64115.76,64425.0,63979.3,64325.99,1418.9831
1786989600,64325.99,64610.01,64280.49,64428.87,1040.45275
1786993200,64428.88,64428.88,64288.35,64309.96,452.68874
1786996800,64309.95,64434.0,64266.0,64392.73,244.13801
1787000400,64392.72,64434.76,64296.0,64382.02,218.14648
1787004000,64382.02,64416.0,64283.49,64291.25,321.62233
1787007600,64291.26,64578.0,64288.24,64532.1,350.04837
1787011200,64532.11,64568.46,64367.27,64383.71,332.9031
1787014800,64383.72,64387.71,64156.0,64200.06,378.48537
1787018400,64200.06,64272.0,64048.0,64103.22,442.34864
1787022000,64103.22,64195.45,64047.73,64185.01,577.49413
1787025600,64185.0,64250.69,64090.0,64210.32,739.25374
1787029200,64210.33,64276.0,64140.0,64242.76,1323.90812
1787032800,64242.76,64446.0,64170.0,64318.03,694.7657
1787036400,64318.03,64350.0,64164.0,64198.97,394.05527
1787040000,64198.97,64336.0,64087.98,64296.02,402.40674
1787043600,64296.01,64296.01,64140.0,64171.95,269.49893
1787047200,64171.95,64216.0,64123.42,64202.8,219.75251
1787050800,64202.81,64402.35,64192.42,64351.19,310.52659
1787054400,64351.18,64355.64,64218.45,64230.02,236.94493
1787058000,64230.02,64284.0,64027.85,64219.99,1179.78725
1787061600,64219.99,65058.81,64219.99,64714.16,1757.31459
1787065200,64714.16,64888.0,64652.0,64855.06,513.17463
1787068800,64855.06,64891.81,64675.5,64840.0,419.07089
1787072400,64840.0,64840.01,64670.02,64670.02,400.18777
1787076000,64670.02,64822.0,64656.0,64772.0,219.3896
1787079600,64771.99,64796.0,64642.36,64643.26,185.09854
1787083200,64643.27,64654.87,64568.0,64582.39,191.92081
1787086800,64582.38,64653.97,64571.48,64604.58,187.67225
1787090400,64604.58,64648.0,64562.25,64634.0,200.09422
1787094000,64634.0,64780.0,64631.15,64725.42,213.8588
1787097600,64725.42,64736.27,64488.0,64488.0,247.80518
1787101200,64488.0,64551.47,64389.27,64400.48,314.2814
1787104800,64400.47,64414.65,64350.0,64351.9,547.93834
1787108400,64351.86,64414.0,64278.0,64330.71,258.70445
1787112000,64330.7,64391.8,64293.43,64316.22,402.06932
1787115600,64316.22,64409.93,64236.0,64236.01,258.31718
1787119200,64236.01,64344.0,64166.0,64339.8,531.39508
1787122800,64339.8,64395.78,64271.78,64296.0,630.66386
1787126400,64296.01,64510.95,64255.0,64413.95,381.23164
1787130000,64413.95,64470.66,64360.7,64427.06,228.1951
1787133600,64427.07,64456.71,64373.24,64456.71,262.84871
1787137200,64456.71,64539.05,64454.99,64515.63,286.02228
1787140800,64515.62,64988.0,64474.86,64882.15,785.09851
1787144400,64882.15,65217.86,64793.29,65012.12,1619.46727
1787148000,65012.12,65970.0,65012.11,65923.21,2365.56793
1787151600,65923.21,69500.0,65892.0,68554.0,9262.86965
1787155200,68554.0,68997.0,68416.36,68465.27,2013.58518
1787158800,68465.26,68546.22,67825.03,68197.29,1708.46485
1787162400,68197.3,68453.43,68042.0,68395.99,626.01288
1787166000,68396.0,68483.52,68103.71,68429.44,730.52396
1787169600,68429.44,69579.99,68390.0,69048.06,1419.23549
1787173200,69048.06,70000.0,68984.78,69709.46,2102.52662
1787176800,69709.47,69833.99,68980.0,69258.9,1240.65644
1787180400,69258.9,69453.88,69160.0,69334.79,830.81844
1787184000,69334.78,69793.21,69314.01,69420.0,1392.50902
1787187600,69420.0,69894.5,69283.25,69721.92,864.23959
1787191200,69721.92,69824.0,69268.0,69301.27,929.59108
1787194800,69301.27,69340.0,68902.22,69195.64,941.77624
1787198400,69195.64,69599.01,69166.0,69492.01,712.36152
1787202000,69492.0,69668.0,69349.16,69406.54,1261.47615
1787205600,69406.53,69927.97,69336.97,69851.99,1346.47743
1787209200,69851.99,70022.0,69506.91,69816.45,2107.14536
1787212800,69816.45,71826.26,69772.36,71592.1,4173.84476
1787216400,71592.11,72067.46,71500.0,71789.97,3166.23325
1787220000,71789.97,72490.0,71686.58,71995.99,2350.9646
1787223600,71995.99,72322.0,71820.0,71927.07,1357.58479
1787227200,71927.07,72015.42,71501.0,71952.04,1576.86402
1787230800,71952.04,72108.8,71132.0,71691.99,2151.9086
1787234400,71692.0,71990.09,71364.01,71826.85,1441.04171
1787238000,71826.85,72830.0,71789.01,72470.83,2926.7352
1787241600,72470.84,72905.0,72205.88,72837.15,1324.40386
1787245200,72837.15,72966.0,72534.71,72737.5,1268.41951
1787248800,72737.51,72810.0,72394.0,72431.36,968.00662
1787252400,72431.35,72774.0,72330.0,72690.76,818.65084
1787256000,72690.76,73110.7,72594.0,72671.75,871.61952
1787259600,72671.76,72848.0,72557.0,72741.81,501.87504
1787263200,72741.81,72878.0,72498.0,72676.22,520.26326
1787266800,72676.23,73400.0,72664.56,73025.15,930.8009
1787270400,73027.02,73990.0,73027.02,73708.02,1919.94005
1787274000,73707.82,75785.82,73668.0,75129.23,3173.32947
